epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,6157.72,0.74385,1.4326,0.45987,0.95547,0.96813,0.92159,0.97403,0.81767,0.95067,0.8998,0.94368,0.69301,0.67263,1.54248,0.39557,0.92543,0.0064756,0.0064756,0.0064756
91,6225.9,0.73956,1.43644,0.45991,0.94875,0.97517,0.90969,0.97255,0.81894,0.95914,0.89338,0.94258,0.69243,0.6676,1.51912,0.40543,0.93047,0.006436,0.006436,0.006436
92,6293.42,0.74315,1.4316,0.4569,0.95414,0.95532,0.92874,0.97271,0.82115,0.93581,0.90941,0.93963,0.6951,0.66766,1.51493,0.40557,0.92809,0.0063964,0.0063964,0.0063964
93,6361.39,0.74288,1.40376,0.45947,0.9512,0.95762,0.9284,0.97335,0.81968,0.95819,0.88864,0.93912,0.69589,0.67146,1.52508,0.40374,0.92952,0.0063568,0.0063568,0.0063568
94,6429.88,0.73956,1.41386,0.45558,0.95206,0.96557,0.9212,0.97373,0.82005,0.95011,0.9067,0.95209,0.68659,0.66861,1.50694,0.40758,0.9317,0.0063172,0.0063172,0.0063172
95,6498.22,0.73369,1.43228,0.46051,0.95168,0.96897,0.9189,0.97088,0.81882,0.95093,0.90203,0.93691,0.68329,0.67127,1.50712,0.40207,0.92561,0.0062776,0.0062776,0.0062776
96,6566.79,0.73784,1.42258,0.44738,0.94786,0.96758,0.92179,0.97509,0.81705,0.94689,0.90226,0.94005,0.68388,0.67134,1.55295,0.39786,0.92732,0.006238,0.006238,0.006238
97,6634.63,0.73221,1.43984,0.45626,0.94938,0.95181,0.93532,0.97428,0.82677,0.93738,0.92007,0.9478,0.69386,0.66195,1.52593,0.40112,0.92507,0.0061984,0.0061984,0.0061984
98,6703.13,0.72891,1.42637,0.44556,0.94986,0.95698,0.93285,0.97493,0.81852,0.95495,0.89295,0.93774,0.68514,0.66124,1.50945,0.3967,0.92439,0.0061588,0.0061588,0.0061588
99,6771.33,0.73665,1.40432,0.44819,0.94998,0.97333,0.90797,0.9711,0.81904,0.95277,0.88583,0.92954,0.6822,0.65038,1.51038,0.39927,0.92014,0.0061192,0.0061192,0.0061192
100,6839.25,0.72064,1.38788,0.45097,0.94769,0.97263,0.91409,0.97246,0.82555,0.95397,0.89694,0.94359,0.68874,0.65711,1.4953,0.39244,0.92646,0.0060796,0.0060796,0.0060796
101,6908.92,0.72843,1.399,0.4531,0.94957,0.95898,0.93109,0.97703,0.82992,0.93566,0.90862,0.93867,0.69792,0.6474,1.51031,0.38961,0.91958,0.00604,0.00604,0.00604
102,6977.56,0.72724,1.38169,0.44296,0.94677,0.97713,0.90814,0.97516,0.82572,0.9628,0.8878,0.9435,0.70017,0.64904,1.49965,0.38678,0.92184,0.0060004,0.0060004,0.0060004
103,7046.07,0.71776,1.38381,0.43503,0.94357,0.9683,0.9145,0.97293,0.82601,0.95105,0.89814,0.94115,0.68957,0.64682,1.52104,0.3856,0.92027,0.0059608,0.0059608,0.0059608
104,7114.19,0.73369,1.37356,0.44832,0.94933,0.96767,0.92253,0.97252,0.82008,0.94963,0.90556,0.94057,0.67975,0.65713,1.53204,0.3967,0.92275,0.0059212,0.0059212,0.0059212
105,7182.55,0.73013,1.40681,0.45028,0.95144,0.96744,0.91767,0.97404,0.82575,0.95024,0.89926,0.94271,0.68818,0.66002,1.52307,0.38888,0.92001,0.0058816,0.0058816,0.0058816
106,7251.78,0.72664,1.38003,0.44379,0.94893,0.97323,0.91104,0.97381,0.82998,0.95776,0.89593,0.94664,0.69714,0.64668,1.52518,0.38289,0.91941,0.005842,0.005842,0.005842
107,7320.07,0.72682,1.40083,0.44846,0.94529,0.963,0.91862,0.97491,0.82497,0.94902,0.89562,0.94186,0.69375,0.64892,1.51799,0.38102,0.91275,0.0058024,0.0058024,0.0058024
108,7387.55,0.71484,1.38817,0.44137,0.94262,0.96255,0.9182,0.97466,0.82715,0.94199,0.90149,0.94287,0.69599,0.65085,1.52769,0.38783,0.91387,0.0057628,0.0057628,0.0057628
109,7455.26,0.73011,1.38633,0.44119,0.95193,0.97337,0.91731,0.97659,0.82494,0.95608,0.89883,0.94172,0.69301,0.64251,1.49601,0.37688,0.91572,0.0057232,0.0057232,0.0057232
110,7523.53,0.71437,1.37985,0.43391,0.94353,0.96561,0.91991,0.97719,0.82845,0.95335,0.90402,0.9494,0.70126,0.65291,1.49235,0.38342,0.92166,0.0056836,0.0056836,0.0056836
111,7591.56,0.70984,1.37181,0.4315,0.94197,0.97204,0.9258,0.9783,0.82834,0.95088,0.90558,0.94372,0.70206,0.64433,1.47563,0.38149,0.91707,0.005644,0.005644,0.005644
112,7659.85,0.71242,1.39211,0.4362,0.94177,0.9667,0.92408,0.97727,0.82863,0.94674,0.90638,0.93944,0.70263,0.64304,1.48352,0.38635,0.91616,0.0056044,0.0056044,0.0056044
113,7727.81,0.7172,1.35703,0.43881,0.94867,0.95638,0.92237,0.97722,0.83194,0.95557,0.88995,0.94215,0.70302,0.64382,1.50765,0.37988,0.91531,0.0055648,0.0055648,0.0055648
114,7796.16,0.7108,1.35704,0.43426,0.94382,0.95709,0.92861,0.9738,0.82684,0.93629,0.90814,0.93856,0.6901,0.64605,1.51107,0.37734,0.92055,0.0055252,0.0055252,0.0055252
115,7867.09,0.71035,1.38303,0.43195,0.94354,0.96011,0.91932,0.971,0.8207,0.9381,0.89755,0.93007,0.68411,0.64941,1.53589,0.37687,0.92001,0.0054856,0.0054856,0.0054856
116,7936.71,0.70995,1.38211,0.42929,0.94348,0.97325,0.91446,0.97205,0.8228,0.94946,0.89625,0.94153,0.69424,0.65344,1.52504,0.37863,0.91932,0.005446,0.005446,0.005446
117,8005.15,0.71608,1.38049,0.43378,0.95123,0.96675,0.92014,0.97407,0.82184,0.94852,0.89584,0.93557,0.68989,0.65906,1.51939,0.37428,0.91779,0.0054064,0.0054064,0.0054064
118,8073.14,0.70574,1.34486,0.42407,0.94495,0.97514,0.91097,0.97371,0.82636,0.956,0.89281,0.93998,0.69924,0.65145,1.50545,0.38104,0.91672,0.0053668,0.0053668,0.0053668
119,8142.22,0.71131,1.35783,0.42521,0.94688,0.97522,0.91274,0.97172,0.82689,0.95723,0.89573,0.94228,0.70334,0.65197,1.50217,0.37263,0.91963,0.0053272,0.0053272,0.0053272
120,8210.74,0.69892,1.35427,0.42758,0.93991,0.96547,0.92048,0.97367,0.8277,0.94725,0.90337,0.9433,0.6986,0.651,1.50566,0.37625,0.91899,0.0052876,0.0052876,0.0052876
